,Date_Sold,Price,Beds,Baths,Square_Feet
0,2022-02-03,569900,5,4.0,3557
1,2022-02-02,242500,2,1.0,1200
2,2022-01-28,565000,3,2.0,2118
3,2022-01-28,569900,4,4.0,3364
4,2022-01-28,415000,4,4.0,3185
5,2022-01-25,325000,3,2.0,1554
6,2022-01-24,189000,2,2.0,1507
7,2022-01-21,441600,3,3.0,2814
8,2022-01-21,14000,2,1.0,1216
9,2022-01-20,546235,5,3.0,3364
10,2022-01-20,355000,2,3.0,2390
11,2022-01-20,365000,4,4.0,3662
12,2022-01-19,387500,4,3.0,2787
13,2022-01-14,528900,4,4.0,2901
14,2022-01-14,950000,5,4.0,4540
15,2022-01-14,371000,4,3.0,2836
16,2022-01-11,500000,4,3.0,3297
17,2022-01-07,615000,5,5.0,5443
18,2022-01-03,618000,5,4.0,4687
19,2022-01-03,250000,4,2.0,1520
20,2021-12-30,298393,4,3.0,1991
21,2021-12-30,625000,5,5.0,4409
22,2021-12-30,615000,5,3.0,3464
23,2021-12-30,550000,6,5.0,4953
24,2021-12-30,350000,4,4.0,3437
25,2021-12-30,735000,4,4.0,3975
26,2021-12-28,187000,2,2.0,1507
27,2021-12-28,417500,3,2.0,2062
28,2021-12-28,140000,3,1.0,1075
29,2021-12-27,355000,4,3.0,3004
30,2021-12-23,303000,3,2.0,1678
31,2021-12-23,729000,4,5.0,4900
32,2021-12-21,569900,4,4.0,3395
33,2021-12-20,315000,3,2.0,1420
34,2021-12-20,185000,3,2.0,1300
35,2021-12-17,625000,4,4.0,3330
36,2021-12-17,192000,3,2.0,1795
37,2021-12-17,446000,4,3.0,2996
38,2021-12-17,435000,3,3.0,2006
39,2021-12-17,386638,4,3.0,2486
40,2021-12-16,374943,4,3.0,2819
41,2021-12-15,415000,4,3.0,3248
42,2021-12-10,603142,5,4.0,3193
43,2021-12-10,210853,3,2.0,1270
44,2021-12-10,168678,3,1.0,1012
45,2021-12-09,334500,3,2.0,1626
46,2021-12-09,440000,4,3.0,3550
47,2021-12-09,272000,3,3.0,1735
48,2021-12-07,615000,5,5.0,4928
49,2021-12-07,237500,2,2.0,1300
50,2021-12-06,237500,2,2.0,1528
51,2021-12-02,214000,3,2.0,2735
52,2021-12-02,562000,3,4.0,4097
53,2021-12-02,387500,4,4.0,2520
54,2021-12-02,316000,3,3.0,3452
55,2021-12-02,249900,3,3.0,1800
56,2021-11-30,151400,3,2.0,1507
57,2021-11-30,325000,3,3.0,1981
58,2021-11-30,362000,4,3.0,3054
59,2021-11-26,300000,3,2.0,2370
60,2021-11-24,276000,3,2.0,1522
61,2021-11-24,365000,4,3.0,2732
62,2021-11-23,465000,4,3.0,2780
63,2021-11-22,359776,4,3.0,2799
64,2021-11-19,738900,3,3.0,2403
65,2021-11-19,345000,4,3.0,2102
66,2021-11-19,181000,3,2.0,1501
67,2021-11-19,155000,2,2.0,1028
68,2021-11-19,148000,3,1.0,1040
69,2021-11-19,367500,3,2.0,2871
70,2021-11-19,545000,4,4.0,4073
71,2021-11-19,425000,4,3.0,5322
72,2021-11-18,365000,4,3.0,2300
73,2021-11-16,400000,4,3.0,2310
74,2021-11-16,628000,3,3.0,2300
75,2021-11-12,357104,3,2.0,1889
76,2021-11-12,630000,3,4.0,3970
77,2021-11-12,365000,3,3.0,2608
78,2021-11-12,619000,4,3.0,3931
79,2021-11-12,399900,3,3.0,2128
80,2021-11-11,407660,4,3.0,2517
81,2021-11-11,674000,4,5.0,4254
82,2021-11-08,396650,4,3.0,2796
83,2021-11-05,195000,3,1.0,1001
84,2021-11-05,190000,3,1.0,1013
85,2021-11-05,751000,4,5.0,5042
86,2021-11-03,435000,5,4.0,3863
87,2021-11-02,375000,4,3.0,2150
88,2021-11-02,450000,4,4.0,3284
89,2021-11-01,400000,4,3.0,3200
90,2021-10-29,460000,4,4.0,3021
91,2021-10-29,448000,4,4.0,3080
92,2021-10-29,400000,4,3.0,3200
93,2021-10-28,570000,3,2.0,2328
94,2021-10-25,330000,3,3.0,2172
95,2021-10-25,607500,5,5.0,3665
96,2021-10-25,425000,5,3.0,3714
97,2021-10-25,730000,5,4.0,4433
98,2021-10-22,125000,2,1.0,718
99,2021-10-22,410000,3,2.0,2040
100,2021-10-22,220000,2,1.0,812
101,2021-10-22,394900,3,2.0,1615
102,2021-10-20,399000,4,4.0,3118
103,2021-10-19,245000,3,2.0,2117
104,2021-10-19,330000,3,2.0,1668
105,2021-10-18,459705,3,2.0,2079
106,2021-10-18,342500,3,3.0,2625
107,2021-10-18,592000,5,4.0,3795
108,2021-10-15,906630,5,5.0,4596
109,2021-10-15,189000,2,2.0,1507
110,2021-10-15,695000,5,6.0,5660
111,2021-10-15,450000,3,3.0,2282
112,2021-10-14,150000,3,1.0,1058
113,2021-10-14,329000,2,2.0,1347
114,2021-10-13,342500,3,3.0,2425
115,2021-10-13,415000,4,3.0,3572
116,2021-10-13,475000,4,4.0,3850
117,2021-10-12,425000,2,1.0,2529
118,2021-10-12,475000,4,4.0,4287
119,2021-10-12,510000,5,3.0,3424
120,2021-10-12,425000,3,3.0,2476
121,2021-10-12,316000,3,2.0,2068
122,2021-10-12,510000,5,3.0,3053
123,2021-10-11,191000,3,2.0,1507
124,2021-10-08,475000,3,3.0,2574
125,2021-10-08,675000,5,4.0,4871
126,2021-10-07,405000,4,3.0,2218
127,2021-10-07,385000,3,3.0,2616
128,2021-10-06,179000,3,2.0,1507
129,2021-10-06,361000,4,4.0,2791
130,2021-10-04,611950,5,5.0,3618
131,2021-10-04,479900,5,4.0,3411
132,2021-10-04,375000,4,3.0,2546
133,2021-10-04,710000,5,5.0,4051
134,2021-10-01,161900,3,1.0,1612
135,2021-10-01,945000,4,4.0,5047
136,2021-09-29,535000,4,4.0,3300
137,2021-09-29,525000,5,4.0,4233
138,2021-09-29,450000,2,3.0,3104
139,2021-09-28,300603,4,3.0,1743
140,2021-09-27,395000,4,4.0,3719
141,2021-09-27,830000,5,5.0,4325
142,2021-09-27,125000,3,1.0,1018
143,2021-09-24,237000,3,2.0,1585
144,2021-09-24,939795,6,6.0,4495
145,2021-09-23,328612,3,3.0,1842
146,2021-09-23,340000,4,2.0,1320
147,2021-09-22,365000,4,3.0,3845
148,2021-09-17,525000,4,4.0,4150
149,2021-09-17,240000,3,2.0,1490
150,2021-09-16,368624,4,3.0,2468
151,2021-09-16,470000,4,3.0,3358
152,2021-09-16,450000,5,4.0,4062
153,2021-09-15,363146,4,3.0,2563
154,2021-09-13,370000,3,2.0,2790
155,2021-09-13,445000,4,3.0,3540
156,2021-09-13,595000,3,3.0,2287
157,2021-09-10,406750,4,3.0,3550
158,2021-09-09,289670,2,2.0,1414
159,2021-09-09,419548,3,3.0,2293
160,2021-09-09,690000,5,5.0,6118
161,2021-09-09,285000,3,2.5,1547
162,2021-09-08,380000,4,3.0,2040
163,2021-09-08,594900,5,4.0,4477
164,2021-09-08,298000,3,2.0,1631
165,2021-09-03,562000,5,4.0,4067
166,2021-09-03,839000,4,4.0,3164
167,2021-09-03,601144,4,3.0,3557
168,2021-09-03,570000,5,5.0,5232
169,2021-09-02,176000,3,2.0,1053
170,2021-09-01,375000,2,2.0,1883
171,2021-09-01,390000,4,5.0,3577
172,2021-08-31,350000,4,3.0,2332
173,2021-08-31,700000,4,4.0,4263
174,2021-08-30,285000,4,2.0,1900
175,2021-08-27,565000,4,3.0,2701
176,2021-08-27,175000,2,1.0,735
177,2021-08-26,380000,3,3.0,2622
178,2021-08-26,785000,5,4.0,4319
179,2021-08-25,350000,4,4.0,3400
180,2021-08-25,310000,2,3.0,2030
181,2021-08-25,369500,4,3.0,2560
182,2021-08-24,470000,4,3.0,2740
183,2021-08-23,286912,3,2.0,1418
184,2021-08-23,161000,2,2.0,1301
185,2021-08-23,295000,3,2.0,2000
186,2021-08-23,455575,3,2.0,2079
187,2021-08-20,517872,3,3.0,2522
188,2021-08-20,575000,4,5.0,6077
189,2021-08-20,639000,4,4.0,4648
190,2021-08-20,179900,2,2.0,1325
191,2021-08-20,572000,4,4.0,5128
192,2021-08-20,320000,2,3.0,2030
193,2021-08-20,589500,6,4.0,4376
194,2021-08-18,450000,3,2.5,1800
195,2021-08-18,1400000,4,5.0,4286
196,2021-08-18,478000,4,4.0,3077
197,2021-08-16,385000,4,3.0,2340
198,2021-08-13,415000,3,3.0,2458
199,2021-08-12,185000,3,2.0,1507
200,2021-08-12,480000,5,5.0,4158
201,2021-08-09,385000,4,4.0,3566
202,2021-08-09,377000,4,4.0,2900
203,2021-08-09,590000,4,4.0,3801
204,2021-08-06,255000,3,1.0,1456
205,2021-08-05,270000,4,2.5,3100
206,2021-08-04,510000,5,3.0,3446
207,2021-08-03,540000,5,3.0,4058
